Address Recognizer;Cap;Address;Neighborhood;Sell Price;Rent Price
via-val-di-ledro;20162;via val di ledro;NIGUARDA - CA' GRANDA;2550;8
via-cesare-brivio;20158;via cesare brivio;NIGUARDA - CA' GRANDA;0;0
via-giuditta-pasta;20161;via giuditta pasta;NIGUARDA - CA' GRANDA;0;0
via-paolo-veronesi;10148;via paolo veronesi;NIGUARDA - CA' GRANDA;0;0
piazza-nizza;20159;piazza nizza;NIGUARDA - CA' GRANDA;0;0
via-montegani;20141;via montegani;STADERA;0;0
via-della-chiesa-rossa;20142;via della chiesa rossa;STADERA;2446;7.92
via-neera;20141;via neera;STADERA;0;0
via-ascanio-sforza;20141;via ascanio sforza;STADERA;2750;9.25
piazza-agrippa;20141;piazza agrippa;STADERA;2588;7
via-francesco-de-sanctis;20141;via francesco de sanctis;STADERA;0;0
via-volvinio;20141;via volvinio;STADERA;2588;7
via-lampedusa;20141;via lampedusa;STADERA;2642;7.75
via-medeghino;20141;via medeghino;STADERA;2588;7
via-lodovico-montegani;20141;via lodovico montegani;STADERA;0;0
via-innocenzo-isimbardi;20141;via innocenzo isimbardi;STADERA;0;0
via-boifava;20141;via boifava;STADERA;0;0
piazza-abbiategrasso;20141;piazza abbiategrasso;STADERA;0;0
viale-giovanni-da-cermenate;20141;viale giovanni da cermenate;STADERA;2669;8.13
via-dei-missaglia;20142;via dei missaglia;STADERA;2588;7
via-donna-prassede;20142;via donna prassede;STADERA;0;0
corso-di-porta-vittoria;20122;corso di porta vittoria;GUASTALLA;0;0
via-della-guastalla;20122;via della guastalla;GUASTALLA;0;0
largo-augusto;20122;largo augusto;GUASTALLA;0;0
via-della-guastalla-n;20122;via della guastalla n;GUASTALLA;0;0
verziere;20122;verziere;GUASTALLA;0;0
via-felice-cavallotti;20122;via felice cavallotti;GUASTALLA;;
via-durini;20122;via durini;GUASTALLA;0;0
via-verziere;20122;via verziere;GUASTALLA;0;0
via-della-commenda;20122;via della commenda;GUASTALLA;7167;21.34
via-conservatorio-a;20122;via conservatorio a;GUASTALLA;0;0
via-besana;20122;via besana;GUASTALLA;0;0
piazza-fontana;20122;piazza fontana;GUASTALLA;0;0
via-san-clemente;20122;via san clemente;GUASTALLA;0;0
piazza-del-liberty;20121;piazza del liberty;GUASTALLA;0;0
via-conservatorio;20122;via conservatorio;GUASTALLA;0;0
via-larga;20122;via larga;GUASTALLA;0;0
via-borgogna;20122;via borgogna;GUASTALLA;0;0
corso-vittorio-emanuele-ii;20122;corso vittorio emanuele ii;GUASTALLA;10367;33.84
via-santa-tecla;20122;via santa tecla;GUASTALLA;0;0
largo-della-crocetta;20123;largo della crocetta;GUASTALLA;0;0
galleria-del-corso;20122;galleria del corso;GUASTALLA;10367;33.84
via-pompeo-litta;20122;via pompeo litta;GUASTALLA;0;0
corso-monforte;20122;corso monforte;GUASTALLA;0;0
galleria-passarella;20122;galleria passarella;GUASTALLA;;
corso-di-porta-romana;20122;corso di porta romana;GUASTALLA;0;0
piazzetta-pattari;20122;piazzetta pattari;GUASTALLA;0;0
via-cesare-beccaria;20122;via cesare beccaria;GUASTALLA;10367;33.84
via-pantano;20122;via pantano;GUASTALLA;0;0
corso-vittorio-emanuele;20122;corso vittorio emanuele;GUASTALLA;0;0
piazza-san-babila;20121;piazza san babila;GUASTALLA;0;0
via-montenapoleone;20121;via montenapoleone;GUASTALLA;0;0
corso-europa;20122;corso europa;GUASTALLA;0;0
via-palazzo-reale;20122;via palazzo reale;GUASTALLA;8784;27.42
corso-montforte;20122;corso montforte;GUASTALLA;0;0
piazza-santo-stefano;20122;piazza santo stefano;GUASTALLA;8784;27.42
via-santa-radegonda;20121;via santa radegonda;GUASTALLA;10367;33.84
via-orti;20122;via orti;GUASTALLA;0;0
via-santa-sofia;20122;via santa sofia;GUASTALLA;5425;18.75
piazza-armando-diaz;20123;piazza armando diaz;GUASTALLA;0;0
via-san-pietro-all’orto;20121;via san pietro all’orto;GUASTALLA;0;0
corso-venezia;20121;corso venezia;GUASTALLA;0;0
viale-monte-nero;20135;viale monte nero;GUASTALLA;0;0
galleria-pattari;20122;galleria pattari;GUASTALLA;0;0
viale-bianca-maria;20129;viale bianca maria;GUASTALLA;7167;21.34
via-flavio-baracchini;20123;via flavio baracchini;GUASTALLA;0;0
piazza-velasca;20122;piazza velasca;GUASTALLA;0;0
largo-corsia-dei-servi;20122;largo corsia dei servi;GUASTALLA;;
via-privata-fratelli-gabba;20100;via privata fratelli gabba;BRERA;0;0
via-madonnina;;via madonnina;BRERA;0;0
via-brera;20121;via brera;BRERA;8103;24.25
via-privata-fratelli-gabba-b;20121;via privata fratelli gabba b;BRERA;0;0
via-san-marco;20121;via san marco;BRERA;6375;19.75
via-fiori-chiari;20121;via fiori chiari;BRERA;8967;26.5
via-andegari;20121;via andegari;BRERA;8967;26.5
corso-di-porta-nuova;20121;corso di porta nuova;BRERA;0;0
via-ancona;20121;via ancona;BRERA;0;0
via-mercato;20122;via mercato;BRERA;0;0
via-san-carpoforo;20121;via san carpoforo;BRERA;8967;26.5
via-tivoli;20121;via tivoli;BRERA;0;0
via-del-carmine;20121;via del carmine;BRERA;8967;26.5
via-pontaccio;20121;via pontaccio;BRERA;0;0
via-rivoli;20121;via rivoli;BRERA;6375;19.75
via-manzoni;20121;via manzoni;BRERA;0;0
via-alessandro-manzoni;20121;via alessandro manzoni;BRERA;0;0
largo-antonio-greppi;20121;largo antonio greppi;BRERA;0;0
corso-giuseppe-garibaldi;20121;corso giuseppe garibaldi;BRERA;7239;22
via-monte-napoleone;20121;via monte napoleone;BRERA;0;0
via-croce-rossa;20121;via croce rossa;BRERA;;
via-montebello;20121;via montebello;BRERA;0;0
via-delio-tessa;20121;via delio tessa;BRERA;0;0
via-marco-formentini;20121;via marco formentini;BRERA;0;0
via-borgospesso;20121;via borgospesso;BRERA;;
piazza-san-simpliciano;20121;piazza san simpliciano;BRERA;6375;19.75
via-ciovasso;20121;via ciovasso;BRERA;8967;26.5
piazza-del-carmine;20121;piazza del carmine;BRERA;0;0
via-gastone-pisoni;20121;via gastone pisoni;BRERA;0;0
via-santo-spirito;20121;via santo spirito;BRERA;;
via-solferino;20121;via solferino;BRERA;6375;19.75
via-fatebenefratelli;20121;via fatebenefratelli;BRERA;0;0
via-san-raffaele;20121;via san raffaele;DUOMO;10367;33.84
via-ulrico-hoepli;20121;via ulrico hoepli;DUOMO;0;0
via-ugo-foscolo;20121;via ugo foscolo;DUOMO;10367;33.84
via-degli-omenoni;20121;via degli omenoni;DUOMO;0;0
via-agnello;20121;via agnello;DUOMO;10367;33.84
piazza-filippo-meda;20121;piazza filippo meda;DUOMO;0;0
via-bagutta;20121;via bagutta;DUOMO;0;0
via-verri;20121;via verri;DUOMO;0;0
via-berchet;20121;via berchet;DUOMO;0;0
corso-giacomo-matteotti;20121;corso giacomo matteotti;DUOMO;0;0
galleria-vittorio-emanuele;20123;galleria vittorio emanuele;DUOMO;0;0
via-gargano;20135;via gargano;SCALO ROMANA;0;0
via-bessarione;20139;via bessarione;SCALO ROMANA;0;0
via-gian-francesco-pizzi;20141;via gian francesco pizzi;SCALO ROMANA;0;0
largo-isaco;20139;largo isaco;SCALO ROMANA;0;0
largo-isarco;20135;largo isarco;SCALO ROMANA;0;0
via-benaco;20100;via benaco;SCALO ROMANA;0;0
via-don-bosco;20139;via don bosco;SCALO ROMANA;0;0
viale-ortles;20139;viale ortles;SCALO ROMANA;0;0
via-lorenzini;20139;via lorenzini;SCALO ROMANA;0;0
via-ripamonti;20141;via ripamonti;SCALO ROMANA;;
via-tagliamento;20139;via tagliamento;SCALO ROMANA;0;0
via-ampola;20141;via ampola;SCALO ROMANA;0;0
via-bernardo-quaranta;20141;via bernardo quaranta;SCALO ROMANA;2750;9.25
via-scalarini;20139;via scalarini;SCALO ROMANA;0;0
via-gallura;20141;via gallura;SCALO ROMANA;0;0
via-mincio;20139;via mincio;SCALO ROMANA;0;0
via-brembo;20139;via brembo;SCALO ROMANA;2750;9.25
piazza-bonomelli;20139;piazza bonomelli;SCALO ROMANA;0;0
corso-lodi;20135;corso lodi;SCALO ROMANA;3200;9.25
via-giuseppe-ripamonti;20141;via giuseppe ripamonti;SCALO ROMANA;2669;8.13
via-oglio;20139;via oglio;SCALO ROMANA;2750;9.25
piazza-angilberto-ii;20153;piazza angilberto ii;SCALO ROMANA;0;0
via-san-vittore;20123;via san vittore;MAGENTA - S VITTORE;5325;14.75
via-aristide-de-togni;20123;via aristide de togni;MAGENTA - S VITTORE;5325;14.75
via-matteo-bandello--;20123;via matteo bandello -;MAGENTA - S VITTORE;0;0
piazza-santa-maria-delle-grazie;20123;piazza santa maria delle grazie;MAGENTA - S VITTORE;0;0
via-gian-battista-vico;20123;via gian battista vico;MAGENTA - S VITTORE;0;0
via-boccaccio;20123;via boccaccio;MAGENTA - S VITTORE;0;0
via-giosuè-carducci;20123;via giosuè carducci;MAGENTA - S VITTORE;0;0
viale-coni-zugna;20144;viale coni zugna;MAGENTA - S VITTORE;4650;12.75
via-giovanni-boccaccio;20123;via giovanni boccaccio;MAGENTA - S VITTORE;;
via-lipari;20142;via lipari;MAGENTA - S VITTORE;0;0
via-novati;20123;via novati;MAGENTA - S VITTORE;0;0
viale-papiniano;20123;viale papiniano;MAGENTA - S VITTORE;5325;14.75
via-de-amicis;20123;via de amicis;MAGENTA - S VITTORE;0;0
via-cesare-da-sesto;20123;via cesare da sesto;MAGENTA - S VITTORE;0;0
via-bartolomeo-panizza;20144;via bartolomeo panizza;MAGENTA - S VITTORE;5388;17
via-matteo-bandello;20123;via matteo bandello;MAGENTA - S VITTORE;5325;14.75
via-terraggio;20100;via terraggio;MAGENTA - S VITTORE;0;0
via-san-vincenzo;20123;via san vincenzo;MAGENTA - S VITTORE;0;0
via-giacomo-leopardi;20123;via giacomo leopardi;MAGENTA - S VITTORE;;
via-leopardi;20123;via leopardi;MAGENTA - S VITTORE;0;0
piazza-baracca;20123;piazza baracca;MAGENTA - S VITTORE;0;0
via-vincenzo-monti;20123;via vincenzo monti;MAGENTA - S VITTORE;;
piazza-giovine-italia;20123;piazza giovine italia;MAGENTA - S VITTORE;;
piazza-virgilio;20123;piazza virgilio;MAGENTA - S VITTORE;0;0
piazzale-aquileia;20144;piazzale aquileia;MAGENTA - S VITTORE;0;0
via-alberto-da-giussano-a;20145;via alberto da giussano a;MAGENTA - S VITTORE;0;0
via-arcangelo-ghisleri;20144;via arcangelo ghisleri;MAGENTA - S VITTORE;0;0
via-ariberto;20123;via ariberto;MAGENTA - S VITTORE;0;0
via-carlo-cicogna-mozzoni;20161;via carlo cicogna mozzoni;BOVISASCA;2532;7.38
viale-zara;20159;viale zara;BOVISASCA;3644;10.75
via-casina-dei-prati;20157;via casina dei prati;BOVISASCA;0;0
via-giulio-verne;20137;via giulio verne;LODI - CORVETTO;0;0
via-barabino;20100;via barabino;LODI - CORVETTO;0;0
via-carlo-marochetti;20139;via carlo marochetti;LODI - CORVETTO;2669;8.13
upim;20139;upim;LODI - CORVETTO;0;0
via-toffetti;20139;via toffetti;LODI - CORVETTO;0;0
via-vincenzo-toffetti;20139;via vincenzo toffetti;LODI - CORVETTO;0;0
viale-brenta;20139;viale brenta;LODI - CORVETTO;0;0
via-lucania;20126;via lucania;LODI - CORVETTO;0;0
viale-enrico-martini;20139;viale enrico martini;LODI - CORVETTO;0;0
via-fabio-massimo;20139;via fabio massimo;LODI - CORVETTO;0;0
via-tullo-massarani;20139;via tullo massarani;LODI - CORVETTO;0;0
via-polesine;20139;via polesine;LODI - CORVETTO;2669;8.13
viale-lucania;20139;viale lucania;LODI - CORVETTO;2669;8.13
piazzale-corvetto;20139;piazzale corvetto;LODI - CORVETTO;0;0
via-bonfadini;20138;via bonfadini;LODI - CORVETTO;0;0
via-pietro-gaggia;20139;via pietro gaggia;LODI - CORVETTO;2588;7
piazzale-bologna;20139;piazzale bologna;LODI - CORVETTO;2588;7
via-giovanni-cadolini;20137;via giovanni cadolini;LODI - CORVETTO;0;0
viale-puglie;20137;viale puglie;LODI - CORVETTO;2975;7.75
upim-pop-corvetto;20139;upim pop corvetto;LODI - CORVETTO;0;0
piazzale-vincenzo-cuoco;20137;piazzale vincenzo cuoco;LODI - CORVETTO;2707;7.63
piazza-mistral;20139;piazza mistral;LODI - CORVETTO;0;0
via-privata-giovanni-ventura;20134;via privata giovanni ventura;LAMBRATE;0;0
piazza-vigili-del-fuoco;20134;piazza vigili del fuoco;LAMBRATE;2375;6.5
via-carlo-bertolazzi;20134;via carlo bertolazzi;LAMBRATE;0;0
via-riccardo-pitteri;20134;via riccardo pitteri;LAMBRATE;0;0
via-maria-grazia-cutuli;20134;via maria grazia cutuli;LAMBRATE;0;0
via-rombon;20134;via rombon;LAMBRATE;2526;7.38
via-pitteri;20134;via pitteri;LAMBRATE;0;0
via-lambretta;20090;via lambretta;LAMBRATE;0;0
via-canelli;20134;via canelli;LAMBRATE;0;0
via-privata-gaetano-sbodio;20134;via privata gaetano sbodio;LAMBRATE;0;0
via-saccardo;20134;via saccardo;LAMBRATE;0;0
via-sbodio;20133;via sbodio;LAMBRATE;0;0
viale-delle-rimembranze-di-lambrate;20134;viale delle rimembranze di lambrate;LAMBRATE;0;0
via-conte-rosso;20134;via conte rosso;LAMBRATE;0;0
via-lago-di-nemi;20142;via lago di nemi;BARONA;0;0
via-barona;20142;via barona;BARONA;0;0
via-de-nicola;20142;via de nicola;BARONA;0;0
via-ovada;20142;via ovada;BARONA;0;0
piazza-guglielmo-miani;20143;piazza guglielmo miani;BARONA;2563;10.25
via-bari;20139;via bari;BARONA;0;0
via-santa-rita-da-cascia;20143;via santa rita da cascia;BARONA;2563;10.25
via-acerbi;20161;via acerbi;BRUZZANO;2532;8
piazza-giustino-fortunato;20161;piazza giustino fortunato;BRUZZANO;2340;7.17
via-casarsa;20161;via casarsa;BRUZZANO;2700;8.25
via-ratti;20151;via ratti;TRENNO;0;0
via-luigi-ratti;20151;via luigi ratti;TRENNO;2225;7.25
piazza-rosa-scolari;20151;piazza rosa scolari;TRENNO;2225;7.25
piazzale-di-porta-lodovica;20136;piazzale di porta lodovica;GRATOSOGLIO - TICINELLO;0;0
via-selvanesco;20142;via selvanesco;GRATOSOGLIO - TICINELLO;0;0
alzaia-naviglio-pavese;20142;alzaia naviglio pavese;GRATOSOGLIO - TICINELLO;2563;10.25
viale-dei-missaglia;20142;viale dei missaglia;GRATOSOGLIO - TICINELLO;2509;7.59
via-lucio-cornelio-silla;20153;via lucio cornelio silla;FIGINO;2450;12.22
via-gaetano-airaghi;20153;via gaetano airaghi;QUINTO ROMANO;2870;11.18
via-cusago;20153;via cusago;PARCO AGRICOLO SUD;2257;7
via-per-cusago;20153;via per cusago;PARCO AGRICOLO SUD;0;0
via-riccardo-lombardi;20153;via riccardo lombardi;PARCO AGRICOLO SUD;2257;7
via-varesina;20156;via varesina;VILLAPIZZONE;0;0
via-villapizzone;20156;via villapizzone;VILLAPIZZONE;0;0
viale-carlo-espinasse;20156;viale carlo espinasse;VILLAPIZZONE;0;0
via-jacopino-da-tradate;20156;via jacopino da tradate;VILLAPIZZONE;0;0
piazzale-accursio;20151;piazzale accursio;VILLAPIZZONE;0;0
via-francesco-de-lemene;20156;via francesco de lemene;VILLAPIZZONE;0;0
via-grosotto;20149;via grosotto;VILLAPIZZONE;0;0
via-pier-francesco-mola;20156;via pier francesco mola;VILLAPIZZONE;2463;8.25
via-ludovico-di-breme;20156;via ludovico di breme;VILLAPIZZONE;2463;8.25
via-bernardino-galliari;20156;via bernardino galliari;VILLAPIZZONE;0;0
via-giovanni-da-udine;20156;via giovanni da udine;VILLAPIZZONE;0;0
via-mac-mahon;20155;via mac mahon;VILLAPIZZONE;0;0
viale-espinasse;20156;viale espinasse;VILLAPIZZONE;0;0
viale-carlo-espinasse--;20156;viale carlo espinasse -;VILLAPIZZONE;0;0
via-masolino-da-panicale;20155;via masolino da panicale;VILLAPIZZONE;0;0
via-privata-della-bindellina;20155;via privata della bindellina;VILLAPIZZONE;0;0
via-pacinotti;20155;via pacinotti;VILLAPIZZONE;0;0
via-monte-ceneri;20155;via monte ceneri;VILLAPIZZONE;0;0
via-gianbattista-bodoni;20155;via gianbattista bodoni;VILLAPIZZONE;0;0
via-console-marcello;20155;via console marcello;VILLAPIZZONE;0;0
via-sonnino;20155;via sonnino;VILLAPIZZONE;0;0
via-traiano;20149;via traiano;VILLAPIZZONE;0;0
via-perin-del-vaga;20156;via perin del vaga;VILLAPIZZONE;2463;8.25
via-giuseppe-candiani;20158;via giuseppe candiani;BOVISA;2063;6.5
via-don-giuseppe-andreoli;20158;via don giuseppe andreoli;BOVISA;3638;10
via-baldinucci;20158;via baldinucci;BOVISA;2463;8.25
piazza-bausan;20158;piazza bausan;BOVISA;2532;7.38
via-giovanni-battista-varè;20158;via giovanni battista varè;BOVISA;0;0
via-varè;20158;via varè;BOVISA;0;0
via-don-giovanni-andreoli;20158;via don giovanni andreoli;BOVISA;0;0
piazza-alfieri;20158;piazza alfieri;BOVISA;0;0
via-lambruschini;20156;via lambruschini;BOVISA;0;0
via-durando;20158;via durando;BOVISA;0;0
stazione-milano-bovisa;20158;stazione milano bovisa;BOVISA;0;0
via-verità;20158;via verità;BOVISA;0;0
via-dei-frassini;20156;via dei frassini;BOVISA;0;0
via-ciaia;20158;via ciaia;DERGANO;3416;18.69
piazza-dergano;20158;piazza dergano;DERGANO;2523;16.66
via-bernardo-davanzati;20158;via bernardo davanzati;DERGANO;0;0
via-legnone;20158;via legnone;DERGANO;0;0
via-livigno;20100;via livigno;DERGANO;0;0
viale-sarca;20126;viale sarca;BICOCCA;0;0
via-chiese;20126;via chiese;BICOCCA;0;0
viale-suzzani;20162;viale suzzani;BICOCCA;0;0
piazzetta-difesa-delle-donne;20126;piazzetta difesa delle donne;BICOCCA;0;0
viale-fulvio-testi;20126;viale fulvio testi;BICOCCA;2550;8
via-ansaldo;20126;via ansaldo;BICOCCA;0;0
via-piero-e-alberto-pirelli;20126;via piero e alberto pirelli;BICOCCA;0;0
viale-piero-e-alberto-pirelli;20126;viale piero e alberto pirelli;BICOCCA;0;0
via-san-glicerio;20162;via san glicerio;BICOCCA;0;0
via-beccali;20162;via beccali;BICOCCA;0;0
via-san-miniato;20162;via san miniato;BICOCCA;0;0
piazza-dei-daini;20126;piazza dei daini;BICOCCA;0;0
via-masaccio;20149;via masaccio;PORTELLO;5388;17
piazza-tre-torri;20145;piazza tre torri;PORTELLO;0;0
via-sebastiano-del-piombo;20149;via sebastiano del piombo;PORTELLO;0;0
via-francesco-albani;20148;via francesco albani;PORTELLO;4423;14.25
via-monte-amiata;20149;via monte amiata;PORTELLO;0;0
viale-paolo-onorato-vigliani;20148;viale paolo onorato vigliani;PORTELLO;0;0
via-giovanni-gattamelata;20149;via giovanni gattamelata;PORTELLO;0;0
piazzale-lorenzo-lotto;20148;piazzale lorenzo lotto;PORTELLO;3457;11.5
via-guglielmo-silva;20149;via guglielmo silva;PORTELLO;0;0
via-madruzzo;20149;via madruzzo;PORTELLO;0;0
via-albani;20148;via albani;PORTELLO;3457;11.5
via-silva;20149;via silva;PORTELLO;0;0
piazzale-lotto;20148;piazzale lotto;PORTELLO;0;0
piazzale-arduino;20149;piazzale arduino;PORTELLO;9475;30.75
via-desiderio-da-settignano;20149;via desiderio da settignano;PORTELLO;5388;17
via-demetrio-stratos;20100;via demetrio stratos;TRE TORRI;9400;11.81
largo-domodossola--a;20145;largo domodossola  a;TRE TORRI;6302;16.66
citylife;20145;citylife;TRE TORRI;6066;17.64
piazza-sempione;20154;piazza sempione;PARCO SEMPIONE;0;0
via-luigi-camoens;20121;via luigi camoens;PARCO SEMPIONE;0;0
viale-emilio-alemagna;20121;viale emilio alemagna;PARCO SEMPIONE;0;0
triennale-di-milano;20121;triennale di milano;PARCO SEMPIONE;0;0
parco-sempione;20121;parco sempione;PARCO SEMPIONE;0;0
corso-sempione-n;20145;corso sempione n;PARCO SEMPIONE;0;0
via-cirillo;20154;via cirillo;PARCO SEMPIONE;;
via-giovanni-gherardini;20145;via giovanni gherardini;PARCO SEMPIONE;0;0
via-cesare-cesariano;20154;via cesare cesariano;PARCO SEMPIONE;0;0
via-cagnola;20154;via cagnola;PARCO SEMPIONE;0;0
viale-alemagna;20121;viale alemagna;PARCO SEMPIONE;0;0
corso-sempione;20154;corso sempione;PARCO SEMPIONE;4513;13.51
via-camoens;20121;via camoens;PARCO SEMPIONE;0;0
via-piermarini;20145;via piermarini;PARCO SEMPIONE;0;0
corso-sempone;20145;corso sempone;PARCO SEMPIONE;0;0
viale-enrico-ibsen;20121;viale enrico ibsen;PARCO SEMPIONE;0;0
via-panfilo-castaldi;20124;via panfilo castaldi;GIARDINI PORTA VENEZIA;5175;16.5
viale-vittorio-veneto;20124;viale vittorio veneto;GIARDINI PORTA VENEZIA;6171;18.92
via-vittorio-veneto;20122;via vittorio veneto;GIARDINI PORTA VENEZIA;0;0
corso-porta-venezia;20122;corso porta venezia;GIARDINI PORTA VENEZIA;0;0
via-lazzaretto;20124;via lazzaretto;GIARDINI PORTA VENEZIA;0;0
via-lecco;20100;via lecco;GIARDINI PORTA VENEZIA;0;0
via-lazzaro-palazzi;20124;via lazzaro palazzi;GIARDINI PORTA VENEZIA;5175;16.5
via-lodovico-settala;20124;via lodovico settala;GIARDINI PORTA VENEZIA;4282;12.82
viale-tunisia;20124;viale tunisia;GIARDINI PORTA VENEZIA;0;0
bastioni-di-porta-venezia;20121;bastioni di porta venezia;GIARDINI PORTA VENEZIA;5775;18.13
giardini-pubblici-indro-montanelli;20121;giardini pubblici indro montanelli;GIARDINI PORTA VENEZIA;0;0
via-forcella;20144;via forcella;TORTONA;3975;10.75
via-bergognone;20144;via bergognone;TORTONA;0;0
largo-della-culture;20144;largo della culture;TORTONA;0;0
via-valenza;20144;via valenza;TORTONA;0;0
ripa-di-porta-ticinese;20134;ripa di porta ticinese;TORTONA;0;0
via-angelo-fumagalli;20143;via angelo fumagalli;TORTONA;3975;10.75
via-vincenzo-forcella;20144;via vincenzo forcella;TORTONA;0;0
via-casale;20144;via casale;TORTONA;3975;10.75
piazza-del-rosario;20100;piazza del rosario;TORTONA;0;0
via-pietro-orseolo;20144;via pietro orseolo;TORTONA;0;0
via-montevideo;20144;via montevideo;TORTONA;3975;10.75
via-pasquale-paoli;20143;via pasquale paoli;TORTONA;3975;10.75
alzaia-alzaia-naviglio-grande;20100;alzaia alzaia naviglio grande;TORTONA;0;0
via-vigevano;20144;via vigevano;TORTONA;0;0
pasquale-paoli;20143;pasquale paoli;TORTONA;0;0
corso-cristoforo-colombo;20144;corso cristoforo colombo;TORTONA;0;0
via-alzaia-naviglio-grande;20144;via alzaia naviglio grande;TORTONA;0;0
via-alessandria;20144;via alessandria;TORTONA;3975;10.75
via-savona-a;20144;via savona a;TORTONA;0;0
ripa-porta-ticinese;20123;ripa porta ticinese;TORTONA;0;0
via-lombardini;20143;via lombardini;TORTONA;0;0
via-corsico;20143;via corsico;NAVIGLI;0;0
via-fusetti;20143;via fusetti;NAVIGLI;0;0
via-argelati;20143;via argelati;NAVIGLI;0;0
vicolo-dei-lavandai;20143;vicolo dei lavandai;NAVIGLI;0;0
via-gola;20143;via gola;NAVIGLI;0;0
via-mario-pichi;20143;via mario pichi;NAVIGLI;3975;10.75
via-giosuè-borsi;20143;via giosuè borsi;NAVIGLI;0;0
via-privata-bobbio;20144;via privata bobbio;NAVIGLI;4650;12.75
alzaia-naviglio;20144;alzaia naviglio;NAVIGLI;0;0
piazzale-antonio-cantore;20123;piazzale antonio cantore;NAVIGLI;0;0
via-romolo;20143;via romolo;NAVIGLI;0;0
corso-ripa-di-porta-ticinese;20144;corso ripa di porta ticinese;NAVIGLI;0;0
via-giuseppe-lagrange;20136;via giuseppe lagrange;NAVIGLI;3875;10.75
via-carlo-torre;20143;via carlo torre;NAVIGLI;0;0
via-lagrange;20136;via lagrange;NAVIGLI;0;0
via-cesariano;20143;via cesariano;NAVIGLI;0;0
via-pietro-calvi;20129;via pietro calvi;XXII MARZO;0;0
via-archimede;20129;via archimede;XXII MARZO;5165;15.8
corso-xxii-marzo;10135;corso xxii marzo;XXII MARZO;0;0
via-bezzecca;20135;via bezzecca;XXII MARZO;0;0
piazza-santa-maria-del-suffragio;20129;piazza santa maria del suffragio;XXII MARZO;0;0
via-benvenuto-cellini;20135;via benvenuto cellini;XXII MARZO;0;0
via-augusto-anfossi;20135;via augusto anfossi;XXII MARZO;0;0
via-galvano-fiamma;20024;via galvano fiamma;XXII MARZO;0;0
via-anzani;20135;via anzani;XXII MARZO;0;0
via-pasquale-sottocorno;20129;via pasquale sottocorno;XXII MARZO;0;0
via-anfossi;20135;via anfossi;XXII MARZO;5071;14.55
viale-montenero;20135;viale montenero;XXII MARZO;0;0
piazza-cinque-giornate;20129;piazza cinque giornate;XXII MARZO;7167;21.34
via-amatore-sciesa;20100;via amatore sciesa;XXII MARZO;0;0
via-spartaco;20151;via spartaco;XXII MARZO;0;0
via-cadore;20135;via cadore;XXII MARZO;;
